Country Name,Country Code,Series Name,Series Code,Year,Value
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,44.38569627
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,99.2
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,6667.134103608605
Peru,PER,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2014,3.208
Peru,PER,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,3.411945798074646
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,75.26
Peru,PER,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2014,99.87338257
Peru,PER,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2014,22.7
Peru,PER,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2014,2.123029650278056
Peru,PER,"Population, total",SP.POP.TOTL,2014,30115826
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,2.3821573718054054
Peru,PER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,79.99454657
Peru,PER,Individuals using the Internet (% of population),IT.NET.USER.ZS,2014,40.24465601
Peru,PER,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,92.9
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,13679.626498095417
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,7.577
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,76.6
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,107.5048676
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2015,1.9771346178442624
Argentina,ARG,"Population, total",SP.POP.TOTL,2015,43477012
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,2.731159828289435
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,91.49230191
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,68.04306411
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.7
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,8936.196617121128
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,8.538
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,9.029901024161363
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,75.106
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,101.0862274
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2015,3.5921493179134427
Brazil,BRA,"Population, total",SP.POP.TOTL,2015,201675532
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,-3.545763393
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,85.69356971
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,58.32795173
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.7
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,6248.514905345122
Colombia,COL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,8.572
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,4.989831158495299
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,76.067
Colombia,COL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,97.67411804
Colombia,COL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,36.8
Colombia,COL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2015,3.9593985486099297
Colombia,COL,"Population, total",SP.POP.TOTL,2015,46969940
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,2.955901375275232
Colombia,COL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,77.16362805
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,55.90497251
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,98.2
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,13433.920298703233
Chile,CHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,6.605
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,4.348773532170441
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,80.008
Chile,CHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,100.9216766
Chile,CHL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,11.2
Chile,CHL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2015,7.327803487112675
Chile,CHL,"Population, total",SP.POP.TOTL,2015,18047625
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,2.151942499811838
Chile,CHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,87.46533203
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,76.62959195
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99.7
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,10021.238611361561
Mexico,MEX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,4.311
Mexico,MEX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,2.720640649640229
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,74.431
Mexico,MEX,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,100.9822693
Mexico,MEX,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,
Mexico,MEX,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2015,2.987837866111859
Mexico,MEX,"Population, total",SP.POP.TOTL,2015,121072306
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,2.7023234302402557
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,77.19038542
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,57.43104299
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,99
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,6231.711503388939
Peru,PER,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2015,3.272
Peru,PER,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,3.398091947463076
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2015,75.732
Peru,PER,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2015,100.2515717
Peru,PER,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2015,21.8
Peru,PER,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2015,3.9031570760641205
Peru,PER,"Population, total",SP.POP.TOTL,2015,30457600
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,3.252244772184511
Peru,PER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,80.69827766
Peru,PER,Individuals using the Internet (% of population),IT.NET.USER.ZS,2015,40.85260091
Peru,PER,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,93.9
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,12699.962313775635
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2016,8.088
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2016,76.105
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2016,109.5983276
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2016,30.3
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2016,0.5847489411730086
Argentina,ARG,"Population, total",SP.POP.TOTL,2016,43900313
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,-2.080327844
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,91.58568172
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,2016,70.96898082
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2016,99.9
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,8836.286527356575
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2016,11.58
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,8.739143523293931
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2016,75.081
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2016,102.6929016
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2016,
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2016,4.137378038658919
Brazil,BRA,"Population, total",SP.POP.TOTL,2016,203218114
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,-3.275916908
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,85.94870484
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2016,60.87254007
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2016,99.7
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,5959.842503675744
Colombia,COL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2016,8.922
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,7.513460246276745
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2016,76.228
Colombia,COL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2016,98.41562653
Colombia,COL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2016,36.8
Colombia,COL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2016,4.901645729034727
Colombia,COL,"Population, total",SP.POP.TOTL,2016,47437512
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,2.0873825016279426
Colombia,COL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,77.20362664
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2016,58.13649357
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2016,98.4
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,13649.85204528032
Chile,CHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2016,6.926
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,3.786193558931184
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2016,80.295
Chile,CHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2016,101.4881363
Chile,CHL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2016,
Chile,CHL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2016,4.557074881538466
Chile,CHL,"Population, total",SP.POP.TOTL,2016,18267221
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,1.7530387490709956
Chile,CHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,87.63062906
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2016,83.55858602
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2016,100
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,9097.923976747688
Mexico,MEX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2016,3.853
Mexico,MEX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,2.821707847476604
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2016,74.376
Mexico,MEX,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2016,102.8713684
Mexico,MEX,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2016,43.2
Mexico,MEX,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2016,3.497680270473466
Mexico,MEX,"Population, total",SP.POP.TOTL,2016,122251351
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,1.772493225412802
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,77.44050874
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,2016,59.540446
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2016,99.5
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,6217.036
Peru,PER,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2016,3.741
Peru,PER,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,3.557176635562789
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2016,75.951
Peru,PER,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2016,102.1501236
Peru,PER,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2016,20.7
Peru,PER,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2016,3.6624755017878803
Peru,PER,"Population, total",SP.POP.TOTL,2016,30866494
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,3.953318715207672
Peru,PER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,81.41923622
Peru,PER,Individuals using the Internet (% of population),IT.NET.USER.ZS,2016,45.46174069
Peru,PER,Access to electricity (% of population),EG.ELC.ACCS.ZS,2016,94.2
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,14532.500930851062
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2017,8.347
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2017,76.543
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2017,110.3778
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2017,25.7
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2017,1.7893650408380555
Argentina,ARG,"Population, total",SP.POP.TOTL,2017,44288894
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,2.818502977759181
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,91.67760284
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,2017,74.29490687
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,2017,100
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,10080.509281930525
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2017,12.792
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,3.446373350326692
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2017,75.383
Brazil,BRA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2017,102.9894867
Brazil,BRA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2017,
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2017,3.338259817390387
Brazil,BRA,"Population, total",SP.POP.TOTL,2017,204703445
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,1.3228690540439914
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,86.19828976
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2017,67.47128452
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,2017,99.8
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,6479.532312924286
Colombia,COL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2017,9.086
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,4.314313256950107
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2017,76.418
Colombia,COL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2017,99.21932983
Colombia,COL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2017,35.9
Colombia,COL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2017,4.393182327654295
Colombia,COL,"Population, total",SP.POP.TOTL,2017,48131078
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,1.3593608678874602
Colombia,COL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,77.22451917
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2017,62.25988032
Colombia,COL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2017,98.5
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,14879.90862271865
Chile,CHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2017,7.257
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,2.182718468685193
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2017,80.61
Chile,CHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2017,102.2948227
Chile,CHL,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2017,8.5
Chile,CHL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2017,1.8964702983654773
Chile,CHL,"Population, total",SP.POP.TOTL,2017,18558868
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,1.3576953734395687
Chile,CHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,87.80002958
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,2017,82.32748693
Chile,CHL,Access to electricity (% of population),EG.ELC.ACCS.ZS,2017,99.7
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,9649.278167295855
Mexico,MEX,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2017,3.419
Mexico,MEX,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,6.041457240189856
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2017,74.261
Mexico,MEX,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2017,105.1101837
Mexico,MEX,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2017,
Mexico,MEX,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2017,2.7830749336452345
Mexico,MEX,"Population, total",SP.POP.TOTL,2017,123400057
Mexico,MEX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,1.8717285464838085
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,77.72069246
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,2017,53.03178861
Mexico,MEX,Access to electricity (% of population),EG.ELC.ACCS.ZS,2017,100
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,6736.166937
Peru,PER,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2017,3.691
Peru,PER,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,2.994900458094428
Peru,PER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2017,75.958
Peru,PER,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2017,101.0445786
Peru,PER,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2017,21.7
Peru,PER,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2017,3.6596726460365394
Peru,PER,"Population, total",SP.POP.TOTL,2017,31324637
Peru,PER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,2.5188354423313513
Peru,PER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,82.19316505
Peru,PER,Individuals using the Internet (% of population),IT.NET.USER.ZS,2017,50.45041218
Peru,PER,Access to electricity (% of population),EG.ELC.ACCS.ZS,2017,94.8
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,11752.799892297908
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2018,9.22
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2018,34.27722371310032
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2018,76.77
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,2018,109.6712418
Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,2018,32
